카테고리,상품내용,성별,연령,직업,소득,결혼,자녀,주거,시도,구,동,자동차
로드자전거,2019첼로 테라 신형105 카본포크 로드자전거,F,4,"주부 (전업주부, 파트타임 근무 주부)",200~299만원,예    ,자녀 있음 ,단독주택,광주,서구,상무1동,기타 (승합차/트럭/화물차/기타 차량 등)
헬멧/보호장비,자전거헬멧/자전거용품/큰/삼천리헬멧/성인/아동헬멧,M,2,"기능직 (자동차정비, 운전기사, 안경사, 택시기사)",300~399만원,아니오,          ,오피스텔,부산,해운대구,좌2동,
후미등,자전거후미등/후미등/실리콘/LED후미등/안전등,F,2,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,연립주택/ 다세대/ 빌라,대구,서구,내당1동,
전시스탠드,토픽스텐드 DUAL TOUCH BIKE STAND 자전거거치대,M,3,기타 ,200~299만원,아니오,          ,단독주택,서울,광진구,중곡1동,
체인,"SramX1 체인, PC-X1, 11단/11단용 자전거 체인",M,2,"학생 (초중고학생, 대학생, 대학원생)",800~899만원,아니오,          ,아파트/ 주상복합,경기,수원시 영통구,망포동,
기타브랜드 헬멧,EVSSX02 Knee Brace 오토바이무릎인대파열방지보호대/,F,2,,,      ,          ,,경북,경산시,중방동,
자전거장갑,[킹썰]스포츠/등산/자전거장갑/여름장갑/반장갑/핸드폰터치,F,2,,,      ,          ,,서울,강서구,화곡3동,
자전거,알톤베네통키드자전거/아동/알루미늄/고급어린이네발,M,2,,,      ,          ,,서울,구로구,구로3동,
전시스탠드,KT05 자전거킥스탠드 자전거받침대 자전거용품,M,3,"학생 (초중고학생, 대학생, 대학원생)",400~499만원,아니오,          ,단독주택,서울,강남구,대치1동,
자전거타이어/부품,자전거수리키트+펌프 자전거공구세트 펑크패치,M,3,"학생 (초중고학생, 대학생, 대학원생)",400~499만원,아니오,          ,단독주택,서울,강남구,대치1동,
승용완구,STONETREE스톤트리 트라이크 - 유모차 세발 자전거,M,3,,,      ,          ,,서울,강서구,화곡1동,
보호대,무료배송.국산쿨토시.팔토시.냉감토시.쿨마스크.아동,M,3,"생산/노무직 (생산감독, 경비원, 공장근로자)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,경북,구미시,인의동,
자전거액세서리,[고바이크]자전거짐받이특대바구니/플록스천바구니/짐바구니/고정식바구니/장착용바구니/자전거악세사리,F,5,"주부 (전업주부, 파트타임 근무 주부)",700~799만원,예    ,자녀 있음 ,아파트/ 주상복합,부산,해운대구,우1동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
MTB,프로메이드풀서스펜션 24인치 MTB자전거 아스톤힐DS,M,5,,,      ,          ,,서울,성북구,길음2동,
자전거의류/잡화,[PUMA]푸마 여성 더블 스트레치 기모 본딩 팬츠 3종세트 GFYYFG22,F,4,"기능직 (자동차정비, 운전기사, 안경사, 택시기사)",300~399만원,아니오,          ,연립주택/ 다세대/ 빌라,인천,남동구,남촌동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
펑크패치,무료배송휴대용 펑크패치/타이어 튜브 레버 정비 수리 공구세트/자전거용품.부품,M,5,,,      ,          ,,인천,계양구,서운동,
헬멧/보호장비,심플한도시형헬멧/빅이글 어반헬멧/자전거용품/인라인,M,2,"전문직 (의사, 판검사, 예술가, 종교인)",100~199만원,아니오,          ,아파트/ 주상복합,대구,달성군,유가면,
MTB,프로메이드풀서스펜션 24인치 MTB자전거 아스톤힐DS,F,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,아니오,          ,단독주택,서울,강남구,삼성동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
후미등,문라이트크레센트/코멧/쉴드/디펜더/메테오/ 자전거라이트 자전거후미등,M,4,"전문직 (의사, 판검사, 예술가, 종교인)","1,000만원 이상",예    ,자녀 있음 ,아파트/ 주상복합,서울,성북구,장위3동,"경차 (모닝, 스파크 등)"
자전거의류/잡화,{지오무역}[쿨멀티스카프모음]쿨마스크/냉동스카프/,M,4,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,광주시,오포읍,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
자전거액세서리,정품미국 CREE사 LED Q5 줌 라이트/자전거/전조등/후레쉬/랜턴/손전등/거치대/건전지/안전등/용품/야간등,M,5,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,송파구,장지동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
헬멧,2018GIRO 지로 QUARTER 쿼터 어반 자전거 헬멧 BMX,M,2,"학생 (초중고학생, 대학생, 대학원생)",100만원 미만,아니오,          ,아파트/ 주상복합,경기,고양시 일산동구,중산동,
자전거,미키키즈로드스터 미니 18유니키즈FA 어린이자전거,M,3,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,아니오,          ,오피스텔,서울,강남구,대치2동,
자전거페달,자전거보조발판(소/중)자전거발받침/발판 알루미늄,M,3,,,      ,          ,,서울,노원구,상계6.7동,
거치대/보관대,노스바이크스마트폰 자전거거치대 핸드폰 휴대폰 가방,M,4,,,      ,          ,,서울,노원구,상계10동,
페달,"토클립세트 (1쌍. 가죽밴드, 볼트 포함) Toe Clip Set 대만생산품. 픽시 클래식 로드 등 자전거 부품 용품",M,5,"교직 (교사, 유치원교사, 학원강사)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,부산,동래구,낙민동,
브레이크패드,BARADINE바라딘 450 로드용 브레이크슈 브레이크 슈패드 고무패드 자전거용품 부품,M,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,수원시 팔달구,인계동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
안장,삼천리전립선 안장패드/MTB ROAD 안장용 쿠션커버/하이브리드 안장커버/자전거안장커버/로드용 자전거용품,M,5,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,의정부시,가능1동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
자전거타이어/부품,야광젤타입 자전거 안장 자전거 용품 레저 취미,F,4,,,      ,          ,,대구,달서구,도원동,
보호대,[성인보호대 세트] 에어워크 보호대 손목_무릎_팔꿈치,M,2,,,      ,          ,,경기,성남시 분당구,정자동,
신발,뉴발란스CRT300 스니커즈 운동화 (CRT300CA),M,4,"생산/노무직 (생산감독, 경비원, 공장근로자)",100~199만원,아니오,          ,연립주택/ 다세대/ 빌라,대전,유성구,장대동,
자전거,도미니크24인치하이브리드자전거초등학생~중학생까지,M,4,,,      ,          ,,부산,해운대구,좌동,
크로스가방,[엑스피크]2포켓 스마트폰 파우치/암밴드+목걸이 기본증정,M,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,의왕시,삼동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
신발,뉴발란스CRT300 스니커즈 운동화 (CRT300CA),M,2,"학생 (초중고학생, 대학생, 대학원생)",800~899만원,아니오,          ,아파트/ 주상복합,서울,구로구,구로1동,
자전거튜브,[흥아]흥아 700C x 23/25C 프레스타 40mm 자전거튜브 로드,M,2,,,      ,          ,,경기,성남시 분당구,삼평동,
브레이크패드,시마노디스크 브레이크 Resin 패드 B01S/BR-T615/C501/M575/M525/M486/M485/M475/M465 레진패드/래진패드,F,4,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,부산,남구,대연5동,
자전거액세서리,블랙울프미니줌 줌라이트 LED랜턴 후레쉬 자전거용품,M,2,무직,600~699만원,아니오,          ,단독주택,경기,의정부시,신곡1동,
MTB,GIFT2016 엘파마 판타시아 S7 S675 카본 MTB 자전거,M,5,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,안성시,공도읍,기타 (승합차/트럭/화물차/기타 차량 등)
MTB,프로메이드풀서스펜션 24인치 MTB자전거 아스톤힐DS,M,5,"자영업 (도소매업, 숙박업, 미용업)",500~599만원,예    ,자녀 있음 ,단독주택,경남,창원시 진해구,충의동,"MPV (카니발, 올란도, 피카소급, 오딧세이 등)"
자전거,[스마트]삼천리/스마트 접이식자전거 미니벨로 4종,M,3,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,화성시,기산동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
헬멧/보호장비,에어워크보호대 성인용/아동용 헬멧/가방 용품 S16,M,2,"학생 (초중고학생, 대학생, 대학원생)",600~699만원,아니오,          ,아파트/ 주상복합,경남,창원시 마산회원구,합성동,
기타용품,발목밴드,M,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,구로구,구로4동,
자전거의류/잡화,"하이맥스매쉬 긴장갑 -  봄,여름,가을 장갑",F,2,"학생 (초중고학생, 대학생, 대학원생)",200~299만원,아니오,          ,오피스텔,전남,무안군,삼향면,
체인,MYBN 10단 실버_S10CR 체인,F,3,"서비스직 (요식업, 숙박업, 미용실종업원)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,동작구,대방동,
자전거,미키키즈로드스터 미니 18유니키즈FA 어린이자전거,M,3,,,      ,          ,,인천,남구,주안동,
헬멧/보호장비,GAIUS어반헬멧 킥보드헬멧 성인 청소년헬멧,M,5,,,      ,          ,,경기,수원시 영통구,이의동,
자전거,[에어휠]BEST전동킥보드/스쿠터 인기브랜드 에어휠/스티고/이지휠 택1,M,4,,,      ,          ,,서울,마포구,도화동,
자전거액세서리,▶빔라이트충전식 자전거 후미등┃자전거용품┃레저용품┃자전거악세사리┃자전거라이트┃후미등┃,F,2,"학생 (초중고학생, 대학생, 대학원생)",300~399만원,아니오,          ,아파트/ 주상복합,서울,은평구,불광동,
자전거스마트폰거치대,4방향완벽고정 자전거 스마트폰 거치대 (블랙),F,2,,,      ,          ,,서울,양천구,신정6동,
기타브랜드 헬멧,[삼천리자전거]미니마우스 헬멧보호대 세트 어린이 자전거 킥보드/ 삼천리자전거,M,4,,,      ,          ,,경기,수원시 장안구,정자3동,
트레이너(로라),엘리트노보 맥 포스/자전거용품/자전거롤러,M,3,"서비스직 (요식업, 숙박업, 미용실종업원)",300~399만원,아니오,          ,단독주택,서울,구로구,구로2동,
자전거의류/잡화,쿨바라클라바자외선차단마스크 여름마스크 쿨마스크,F,4,,,      ,          ,,제주,제주시,외도2동,
MTB,알톤쉐보레 CMJR 초등학생 MTB 자전거/24인치/22인치/샌드스톤24,F,4,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경북,상주시,신봉동,
기타용품,[펌프킹]가정용 자전거 거치대 HK-001,F,4,,,      ,          ,,서울,노원구,상계8동,
MTB,알톤쉐보레 CMJR 초등학생 MTB 자전거/24인치/22인치/샌드스톤24,M,5,"관리직 (사장, 간부, 고위공무원)","1,000만원 이상",예    ,자녀 있음 ,아파트/ 주상복합,경기,안산시 단원구,고잔동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
브레이크패드,[FNS]크락스오가닉 디스크브레이크 패드(벌크제품),M,5,"사무직 (일반사무직, 공무원, 직업군인)",600~699만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,서초구,우면동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
자전거액세서리,유아안장자전거유아안장 후방유아안장 아동보조안장,F,5,"교직 (교사, 유치원교사, 학원강사)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,강동구,둔촌동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
에어펌프(발펌프),GIYO지요 GF-56GTB ULTRA 자전거펌프 공기배출기능,M,2,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,오피스텔,서울,영등포구,양평동2가,
트레이너(로라),엘리트노보 맥 포스/자전거용품/자전거롤러,F,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,광주,동구,지산동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
자전거,삼천리가족형 HF200 7단 미니벨로 20형 접이식자전거,M,2,"학생 (초중고학생, 대학생, 대학원생)",200~299만원,아니오,          ,아파트/ 주상복합,전남,목포시,용해동,
체인,"SramX1 체인, PC-X1, 11단/11단용 자전거 체인",M,2,"학생 (초중고학생, 대학생, 대학원생)",200~299만원,아니오,          ,아파트/ 주상복합,인천,남동구,논현동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
튜브,자전거고급 타이어 튜브/던롭 프레스타 슈레더 튜브/슈발베 켄다 CST튜브/자전거용품 부품,F,5,"주부 (전업주부, 파트타임 근무 주부)","1,000만원 이상",예    ,자녀 있음 ,아파트/ 주상복합,울산,남구,무거동,"경차 (모닝, 스파크 등)"
자전거액세서리,"매그닉라이트/전조등,후미등싱글판매/충전필요없는 독일특허 비접촉 자전거라이트/자전거용품/무료배송",M,5,,,      ,          ,,서울,강서구,염창동,
MTB,삼천리자전거/하운드팀50D/MTB자전거/산악자전거,F,3,,,      ,          ,,충북,진천군,광혜원면,
자전거액세서리,자전거휠 라이트 안전등  LED라이트 후미등,F,4,,,      ,          ,,경기,광주시,경안동,
자전거,도미니크24인치하이브리드자전거초등학생~중학생까지,M,4,,,      ,          ,,충북,청주시 상당구,주중동,
보호대,나이키/팔토시/쿨토시/자외선차단/스포츠/레저/등산용,M,2,,,      ,          ,,서울,영등포구,문래동6가,
자전거액세서리,▶빔라이트충전식 자전거 후미등┃자전거용품┃레저용품┃자전거악세사리┃자전거라이트┃후미등┃,F,2,기타 ,100~199만원,아니오,          ,오피스텔,서울,성북구,삼선동5가,
흙받이,자전거흙받이(한세트)삼천리자전거 레스포정품/흙튀김방지 물받이/선택,F,3,"서비스직 (요식업, 숙박업, 미용실종업원)",100~199만원,아니오,          ,아파트/ 주상복합,서울,노원구,공릉동,
자전거장갑,[프로스펙스]스마트 방한장갑 등산장갑 자전거장갑 겨울장갑 축구,M,2,"서비스직 (요식업, 숙박업, 미용실종업원)",300~399만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,동작구,상도1동,
자전거액세서리,자전거라이트LED 전조등 후미등 후레쉬 [거치대증정],M,4,,,      ,          ,,서울,강남구,논현동,
자전거액세서리,카멜백포디엄 칠리 610ml 자전거물통 보냉 물병,F,3,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,예    ,자녀 있음 ,아파트/ 주상복합,부산,동래구,온천3동,
공용하의,[MCN]네오 베이직 7부 바지/승마바지,M,2,"기능직 (자동차정비, 운전기사, 안경사, 택시기사)",700~799만원,아니오,          ,아파트/ 주상복합,경기,안산시 단원구,고잔동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
자전거,[알톤]갤럽22 21단 앞쇼바 7~11세 시마노인투스기어,M,3,,,      ,          ,,인천,부평구,일신동,
헬멧/보호장비,자전거어반헬멧 어린이헬멧 인라인 헬맷 킥보드헬멧,M,3,,,      ,          ,,서울,광진구,화양동,
튜브벨브/어댑터/노즐,호비던롭밸브셋트 무시고무 공기 주입을 하여도 바람이 샐경우 교체,M,2,,,      ,          ,,경북,울진군,후포면,
헬멧/보호장비,GIFT삼천리 헬멧 SH330S 선바이저 자전거용품 인라인,F,5,,,      ,          ,,전북,전주시 완산구,효자동3가,
자전거액세서리,"자전거커버,바이크린,자전거,자전거용품,싸이클",M,5,,,      ,          ,,경기,용인시 수지구,신봉동,
전기자전거,전동킥보드마이봇 ERT-8/ 38V/ 18.4Ah / 삼성배터리/ 레져스포츠,F,3,"교직 (교사, 유치원교사, 학원강사)","1,000만원 이상",예    ,자녀 없음 ,아파트/ 주상복합,서울,양천구,목1동,
안장,[참좋은바이크]삼천리아동용안장모음/하이킥/프린세스/키즈바이크/디즈니/유아동/어린이/푹신한안장,M,4,"서비스직 (요식업, 숙박업, 미용실종업원)",500~599만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,도봉구,방학2동,
승용완구,[삼천리자전거]GIFT 2018 삼천리 샘트라이크 800+ 유모차 세발자전거,M,4,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,동작구,상도4동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
MTB,삼천리자전거/하운드팀50D/MTB자전거/산악자전거,M,2,"학생 (초중고학생, 대학생, 대학원생)",100~199만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,구리시,수택동,
자전거액세서리,블랙울프미니줌 줌라이트 LED랜턴 후레쉬 자전거용품,M,2,"학생 (초중고학생, 대학생, 대학원생)","1,000만원 이상",아니오,          ,연립주택/ 다세대/ 빌라,경기,용인시 수지구,죽전동,
자전거의류/잡화,[8601416-SJ]예식장갑/민자/백색/(100EA)/코팅장갑/장갑/안전장갑,F,3,"사무직 (일반사무직, 공무원, 직업군인)",600~699만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,남구,용현5동,"경차 (모닝, 스파크 등)"
브레이크레버,브레이크레버/아동용/성인용/알로이브레이크레버/자전거부품/자전거브레이크레버,M,5,"관리직 (사장, 간부, 고위공무원)","1,000만원 이상",예    ,자녀 있음 ,아파트/ 주상복합,경기,용인시 기흥구,마북동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
광택,자전거방수보관커버/방수자전거 커버/PEVA원단,M,4,"자영업 (도소매업, 숙박업, 미용업)","1,000만원 이상",예    ,자녀 있음 ,아파트/ 주상복합,서울,용산구,이태원동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
자전거의류/잡화,마스크/귀마개/멀티워머/넥워머/자전거/검정마스크,F,2,,,      ,          ,,경기,시흥시,대야동,
신발,뉴발란스운동화 774 NEWBALANCE 774 (M774BK3),M,5,,,      ,          ,,경기,부천시 오정구,고강1동,
거치대,(추천)말대가리 스마트 거치대/ 휴대폰거치대 스마트폰거치대 거치대 차량용폰거치대 핸폰거치대 헨드폰거,F,2,,,      ,          ,,울산,울주군,범서읍,
펑크패치,구멍패치/번개표/자전거보수/타이어보수/빵꾸딱지/빵구패치/자전거정비/땜질/공구장터,F,5,,,      ,          ,,서울,동작구,상도동,
헬멧/보호장비,가성비좋은 헬멧/빅이글 자전거헬멧/보호대/인라인/자전거용품,F,5,,,      ,          ,,서울,동작구,상도동,
신발,뉴발란스운동화 574 NEWBALANCE 574 (ML574SS2),F,3,,,      ,          ,,대전,중구,옥계동,
헬멧/보호장비,GIFT삼천리 헬멧 SH330S 선바이저 자전거용품 인라인,M,4,"교직 (교사, 유치원교사, 학원강사)",400~499만원,아니오,          ,아파트/ 주상복합,서울,강남구,대치동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
자전거,스타카토에스코트 7단 접이식 자전거 바구니 포함,M,3,,,      ,          ,,경북,경주시,구황동,
MTB,알톤쉐보레 CMJR 초등학생 MTB 자전거/24인치/22인치/샌드스톤24,M,2,"학생 (초중고학생, 대학생, 대학원생)",100~199만원,아니오,          ,연립주택/ 다세대/ 빌라,대구,남구,대명동,
자전거의류/잡화,GIROJAG 반장갑/지로 장갑/땀흡수/통기성/4웨이 신축성/충격흡수패딩/자전거장갑/지로장갑/자전거용품,M,2,"관리직 (사장, 간부, 고위공무원)",400~499만원,아니오,          ,아파트/ 주상복합,인천,부평구,산곡3동,
후미등,자전거후미등2구 실리콘 후미등 LED비상등 안전등 야간 라이딩 유모차 오토바이 3가지 모드,F,3,,,      ,          ,,인천,남동구,구월2동,
페달,"토클립세트 (1쌍. 가죽밴드, 볼트 포함) Toe Clip Set 대만생산품. 픽시 클래식 로드 등 자전거 부품 용품",F,2,"사무직 (일반사무직, 공무원, 직업군인)","1,000만원 이상",아니오,          ,아파트/ 주상복합,서울,노원구,공릉2동,
자전거액세서리,"자전거커버,바이크린,자전거,자전거용품,싸이클",M,3,,,      ,          ,,경기,광명시,철산2동,
자전거튜브,[흥아]흥아 700C x 23/25C 프레스타 40mm 자전거튜브 로드,M,5,,,      ,          ,,서울,서초구,서초4동,
헬멧,어반헬멧/GIRO 쿼터 다임 딤/BELL 세그먼트/자전거,M,2,무직,200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,종로구,부암동,
자전거액세서리,블랙울프KR-C8 L2 밝은 자전거라이트 전조등 손전등,M,4,,,      ,          ,,인천,서구,경서동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
자전거,[삼천리자전거][삼천리]여성용 클래식 자전거 라니아 22인치,M,4,,,      ,          ,,인천,서구,경서동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
전시스탠드,[학성스포츠]아동용16/18/20인치 자전거스탠드/보조바퀴떼어내고 두발자전거전환시사용,M,4,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,단독주택,대구,북구,읍내동,"경차 (모닝, 스파크 등)"
MTB,삼천리자전거팀60D MTB자전거 24단 알루미늄자전거,F,3,"전문직 (의사, 판검사, 예술가, 종교인)",400~499만원,예    ,자녀 없음 ,아파트/ 주상복합,부산,북구,금곡동,
자전거타이어/부품,삼천리알루미늄 핸드펌프  - 자전거 다용도 튜브 펌프 공기주입기,M,2,"학생 (초중고학생, 대학생, 대학원생)","1,000만원 이상",아니오,          ,아파트/ 주상복합,서울,영등포구,양평동3가,
자전거페달,자전거보조발판(소/중)자전거발받침/발판 알루미늄,F,4,"서비스직 (요식업, 숙박업, 미용실종업원)",100~199만원,예    ,자녀 있음 ,단독주택,전남,목포시,용당1동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
공용상의,[MCN]윈드베스트 MSV-16 블랙/자전거조끼,M,4,,,      ,          ,,경기,고양시 일산동구,장항동,
자전거액세서리,[VELO]VL3147전립선안장 - MTB 로드 싸이클 자전거 전립선 벨로 쿠션안장,M,4,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,의정부시,신곡1동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
안장,[참좋은바이크]삼천리아동용안장모음/하이킥/프린세스/키즈바이크/디즈니/유아동/어린이/푹신한안장,F,5,,,      ,          ,,서울,노원구,하계2동,
자전거의류/잡화,쿨마스크멀티스카프 자외선차단마스크 자전거마스크,F,2,,,      ,          ,,서울,강남구,대치2동,
흙받이,자전거흙받이/짐받이가방/강철크롬짐받이/받침대/보조안장/쇼바형짐받이/자전거용품,M,5,,,      ,          ,,충북,청주시 상당구,용암2동,
튜브,[FNS]즈와유무시고무 없는 던롭밸브 세트/던롭튜브,F,5,,,      ,          ,,서울,송파구,풍납동,
튜브벨브/어댑터/노즐,호비던롭밸브셋트 무시고무 공기 주입을 하여도 바람이 샐경우 교체,F,4,,,      ,          ,,서울,양천구,신월3동,
기타용품,발목밴드,F,5,,,      ,          ,,경기,의정부시,신곡2동,
자전거액세서리,자전거비밀번호 자물쇠 (소)  No75,M,3,"관리직 (사장, 간부, 고위공무원)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,평택시,이충동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
라이트거치대,페어맨만능 18650충전기 FLIC-210 자전거라이트 2구,M,5,"사무직 (일반사무직, 공무원, 직업군인)",600~699만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,성남시 분당구,이매동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
자전거의류/잡화,[PUMA]푸마 여성 기모 티셔츠 3종세트 NFYKFG01,F,2,,,      ,          ,,,,,
사이클,[HK]예거메티1디스크 로드자전거 카본포크 소라,F,5,,,      ,          ,,전북,전주시 완산구,삼천동1가,
신발,뉴발란스CRT300 스니커즈 운동화 (CRT300CA),M,3,"전문직 (의사, 판검사, 예술가, 종교인)",700~799만원,아니오,          ,아파트/ 주상복합,서울,구로구,구로1동,
자전거의류/잡화,"하이맥스매쉬 긴장갑 -  봄,여름,가을 장갑",F,4,,,      ,          ,,서울,강동구,성내동,
보호대,일본코미네09-021 오토바이 핸들워머 빅스쿠터 전동 킥보드 토시 퀵보드 토시 장갑 겨울 방한용품,F,2,,,      ,          ,,대전,서구,괴정동,
자전거액세서리,자전거유아안장전방유아안장 아동보조안장,M,4,,,      ,          ,,경기,파주시,광탄면,
외발/삼륜/2인용,절대터지지않는알로이 컨츄리 성인 세발자전거 삼륜,F,5,,,      ,          ,,서울,성북구,장위2동,
MTB,"[삼천리]미키마우스 미키키즈14,16,18형 아동 자전거",F,2,,,      ,          ,,광주,서구,풍암동,
자전거장갑,아쿠아메이드자전거 반장갑 바이크 헬스 등산 장갑,F,2,,,      ,          ,,부산,금정구,부곡동,
픽시자전거,벤데타벨루가 700C 알로이 에어로 프레임 픽시자전거,F,5,"주부 (전업주부, 파트타임 근무 주부)",700~799만원,예    ,자녀 있음 ,아파트/ 주상복합,부산,해운대구,우1동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
자전거액세서리,(자전거용품.부품모음)자물쇠라이트펌프바구니짐받이안장가방헬멧보호대후미등페달보조바퀴벨전조등거치대,M,3,,,      ,          ,,인천,서구,석남3동,
전시스탠드,포인트배너실외용거치대 양면겸용 홍보 이벤트,F,4,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,안산시 상록구,사1동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
에어펌프(발펌프),국산삼흥 발펌프 공기주입기 손펌프 에어펌프 자전거,M,5,"자영업 (도소매업, 숙박업, 미용업)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,남동구,논현동,"MPV (카니발, 올란도, 피카소급, 오딧세이 등)"
헬멧/보호장비,"Giro헬멧/Quarter 쿼터, 어번/더트 (6색상)",F,4,"사무직 (일반사무직, 공무원, 직업군인)",800~899만원,예    ,자녀 있음 ,아파트/ 주상복합,울산,울주군,범서읍,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
에어펌프(발펌프),국산삼흥 발펌프 공기주입기 손펌프 에어펌프 자전거펌프 공 오토바이 바이크 휴대용 쌍발펌프 튜브 스포,M,5,,,      ,          ,,전남,광양시,광양읍,
장갑,[MTB자전거장갑]라이딩장갑/여름장갑/반장갑,F,4,"주부 (전업주부, 파트타임 근무 주부)",500~599만원,예    ,자녀 있음 ,기타 ,광주,광산구,황룡동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
자전거액세서리,[VELO]VL3147전립선안장 - MTB 로드 싸이클 자전거 전립선 벨로 쿠션안장,F,3,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 없음 ,아파트/ 주상복합,경기,수원시 팔달구,화서1동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
자전거타이어,자전거휠라이트 반사 스트로우 바퀴 야간 안전 야광,F,5,"주부 (전업주부, 파트타임 근무 주부)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,평택시,비전동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
헬멧,[HJC]X5(EVO)블랙스카이 / 자전거 헬멧 / 240g대 초,M,2,"학생 (초중고학생, 대학생, 대학원생)","1,000만원 이상",아니오,          ,아파트/ 주상복합,경기,광명시,철산4동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
외발/삼륜/2인용,[자이덴]지오닉스 나누미 에코 성인용 세발 트라이 삼륜자전거,M,2,,,      ,          ,,서울,성북구,안암동2가,
