재해,사이트제목,성별,연령,직업,소득,결혼,자녀,주거,시도,구,동,자동차
산불,[강원산불] 유통... :: 네이버 뉴스,M,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,강원,춘천시,퇴계동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산불,"[강원도 산불] 기상청, 강원도 전체 강풍.. 미시령 초속 24m 태풍급 강풍 여전 | 다음 뉴스",F,2,무직,300~399만원,아니오,          ,아파트/ 주상복합,부산,금정구,장전1동,
산불,강원 산불 ‘국가... :: 네이버 뉴스,M,2,"학생 (초중고학생, 대학생, 대학원생)",500~599만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,광진구,구의2동,
산불,강원 고성에 대형... :: 네이버 뉴스,F,3,"사무직 (일반사무직, 공무원, 직업군인)",600~699만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,동대문구,청량리동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
산불,강원 고성에 대형... :: 네이버 뉴스,F,3,"사무직 (일반사무직, 공무원, 직업군인)",600~699만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,동대문구,청량리동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
산불,[강원산불]태풍급... :: 네이버 뉴스,F,3,"서비스직 (요식업, 숙박업, 미용실종업원)",100~199만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,중랑구,면목동,
산불,강원 고성에 대형... :: 네이버 뉴스,M,2,"학생 (초중고학생, 대학생, 대학원생)",400~499만원,아니오,          ,아파트/ 주상복합,충북,청주시 흥덕구,분평동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
산불,[긴급구호펀딩] 국가 재난 사태 강원 산불 구호 펀딩 | 와디즈 리워드 - 크라우드펀딩,F,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 없음 ,아파트/ 주상복합,인천,남구,주안5동,
산불,[긴급구호펀딩] 국가 재난 사태 강원 산불 구호 펀딩 | 와디즈 리워드 - 크라우드펀딩,F,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 없음 ,아파트/ 주상복합,인천,남구,주안5동,
산불,태풍급 강풍 양간지풍..고성 산불 순식간에 확산 | 다음 뉴스,F,4,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,아니오,          ,오피스텔,서울,관악구,청룡동,
산불,강원 고성에 대형... :: 네이버 뉴스,F,3,"주부 (전업주부, 파트타임 근무 주부)",200~299만원,예    ,자녀 있음 ,아파트/ 주상복합,경북,구미시,인의동,
산불,강원 고성에 대형... :: 네이버 뉴스,F,3,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 없음 ,아파트/ 주상복합,서울,성동구,옥수동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산불,강원 고성에 대형... :: 네이버 뉴스,M,4,"생산/노무직 (생산감독, 경비원, 공장근로자)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,부산,영도구,청학2동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산사태,"폭염,호우,수난사고,산사태,추락사고,화학물사고중점관리",M,3,,,      ,          ,,인천,부평구,부평4동,
산사태,태풍링링오는데속살드러낸용인석성산…산사태공포,M,2,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,아니오,          ,아파트/ 주상복합,서울,구로구,개봉3동,"소형SUV/CUV (티볼리, QM3 등)"
산림재해,"파주시,해빙기산림재해우려지역안전점검실시!",M,2,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,아니오,          ,아파트/ 주상복합,서울,구로구,개봉3동,"소형SUV/CUV (티볼리, QM3 등)"
산림재해,"울릉군,산림재해일자리안전교육실시",M,2,,,      ,          ,,충남,천안시 서북구,쌍용3동,
산불,강원 산불 속초... :: 네이버 뉴스,F,2,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,아니오,          ,연립주택/ 다세대/ 빌라,충북,청주시 흥덕구,운천동,
산불,강원 산불 속초... :: 네이버 뉴스,F,3,"주부 (전업주부, 파트타임 근무 주부)",500~599만원,예    ,자녀 없음 ,아파트/ 주상복합,서울,성동구,옥수동,"소형SUV/CUV (티볼리, QM3 등)"
산불,"롯데, 강원도 산불 피해지역 긴급구호물품 지원 - 악플달면 쩌리쩌려버려 - ＊여성시대＊ 차분한 20대들의 알흠다운 공간",F,3,무직,300~399만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,동작구,사당2동,
