체험,사이트제목,성별,연령,직업,소득,결혼,자녀,주거,시도,구,동,자동차
숲체험교육확동,"유아숲체험도함께,국립칠곡숲체원",F,3,,,      ,          ,,서울,강남구,도곡2동,
숲체험교육확동,"유아숲체험도함께,국립칠곡숲체원",F,2,,,      ,          ,,충남,서산시,지곡면,
숲체험교육확동,군산서초등학교숲체험운영,F,5,,,      ,          ,,경북,경산시,정평동,
숲체험교육확동,"아산교육지원청,초등학생대상숲체험교육운영",F,4,,,      ,          ,,전남,화순군,화순읍,
숲체험교육확동,"초등학교3학년환경교육,숲체험~경남환경교육원자연환경해설사활동/청아생태농장/경남체험학습/사천사남초등학교",F,3,,,      ,          ,,대전,유성구,지족동,
산림체험프로그램,장령산자연휴양림치유의숲산림치유염색체험프로그램안내,F,3,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,양천구,목2동,
숲체험프로그램,"부산시,‘생애주기별숲체험프로그램’운영",F,2,,,      ,          ,,경기,부천시 원미구,상동,
숲체험교육확동,[봉화]힐빙스테이4기/봉화가족체험프로그램/봉화춘양목숲힐빙프로그램/봉화가족캠프/춘양목숲체험교육/봉화힐빙스테이,F,4,,,      ,          ,,경기,시흥시,정왕2동,
숲체험프로그램,"함허동천,숲체험프로그램",F,2,"전문직 (의사, 판검사, 예술가, 종교인)",600~699만원,아니오,          ,아파트/ 주상복합,대구,달성군,옥포면,
숲체험교육확동,[대구북구복현동산격동검단동코스트코근처어린이집유치원]<숲은늘~즐거워요??대구숲체험>교육으로행복한세상을만들어가는사회복지법인나래영재어린이집,M,3,,,      ,          ,,경남,양산시,물금읍,
산림체험프로그램,맑은누리청소년방과후아카데미10월주말체험프로그램:산림문화체험-숲의가을을만들다.,F,3,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,금천구,가산동,
숲체험프로그램,대전주말숲체험프로그램-행복한숲체험♩,F,3,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,남동구,서창동,
숲체험프로그램,"청주시숲체험프로그램;4월부터10월까지행복한생태체험,토요가족숲나들이등",F,4,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,수원시 영통구,영통동,
산림체험프로그램,장령산자연휴양림치유의숲산림치유염색체험프로그램안내,F,3,"주부 (전업주부, 파트타임 근무 주부)","1,000만원 이상",예    ,자녀 있음 ,아파트/ 주상복합,인천,서구,검암동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
숲체험교육확동,서울숲숲체험교육활동다녀왔어요_레고시티리포터챌린지,F,4,기타 ,100만원 미만,아니오,          ,오피스텔,울산,남구,신정4동,
숲체험교육확동,[동암/꼬마성어린이집]의교육활동:숲체험을소개합니다,M,3,,,      ,          ,,충북,청주시 상당구,서운동,
숲체험프로그램,예약안내및숲체험프로그램후기,M,3,,,      ,          ,,충북,청주시 상당구,서운동,
숲체험프로그램,"숲체험프로그램,숲체험활동,숲체험놀이등숲에서할수있는휴양문화를소개합니다.",F,2,"학생 (초중고학생, 대학생, 대학원생)",400~499만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,광진구,중곡4동,
숲체험교육확동,숲체험교육사업단단체참가자모집에국가유공자단체포함,F,3,"생산/노무직 (생산감독, 경비원, 공장근로자)",100만원 미만,아니오,          ,기타 ,서울,강동구,천호동,
산림체험프로그램,맑은누리청소년방과후아카데미10월주말체험프로그램:산림문화체험-숲의가을을만들다.,F,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,아니오,          ,오피스텔,경기,하남시,학암동,
숲체험교육확동,"초등4학년숲체험,지리산경남환경교육원자연환경해설사활동~경남체험/생태체험/청아생태농장/숲해설/고성초등학교",M,3,무직,100~199만원,아니오,          ,오피스텔,충북,청원군,오창읍,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
숲체험교육확동,서울숲숲체험교육활동다녀왔어요_레고시티리포터챌린지,F,3,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,대전,동구,성남동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
숲체험프로그램,초등딸1학기트레킹숲체험프로그램을마쳤어요,F,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 없음 ,연립주택/ 다세대/ 빌라,서울,용산구,보광동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
숲체험프로그램,"아이랑갈만한곳,양평쉬자파크유아숲체험프로그램",F,4,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,평택시,독곡동,
숲체험교육확동,"유아숲체험도함께,국립칠곡숲체원",F,3,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,부천시 원미구,중1동,"경차 (모닝, 스파크 등)"
숲체험교육확동,서울숲숲체험교육활동다녀왔어요_레고시티리포터챌린지,F,3,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,구로구,개봉2동,
산림체험프로그램,장령산자연휴양림치유의숲산림치유염색체험프로그램안내,F,3,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경남,진주시,하대동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
숲체험프로그램,인천야간숲체험프로그램,F,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,아니오,          ,아파트/ 주상복합,서울,노원구,월계동,
숲체험프로그램,"숲체험프로그램,숲체험활동,숲체험놀이등숲에서할수있는휴양문화를소개합니다.",F,3,"주부 (전업주부, 파트타임 근무 주부)",600~699만원,예    ,자녀 있음 ,아파트/ 주상복합,전북,완주군,봉동읍,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
산림복합체험프로그램,"[소상공인연합신문]증평군,좌구산숲명상의집가을철산림복합프로그램체험객인기",F,4,"교직 (교사, 유치원교사, 학원강사)",900~999만원,아니오,          ,단독주택,서울,강남구,신사동,
숲체험프로그램,초등딸1학기트레킹숲체험프로그램을마쳤어요,F,3,"주부 (전업주부, 파트타임 근무 주부)",100~199만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,광명시,하안3동,
숲체험프로그램,"숲체험프로그램,숲체험활동,숲체험놀이등숲에서할수있는휴양문화를소개합니다.",F,4,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,김포시,장기동,기타 (승합차/트럭/화물차/기타 차량 등)
숲체험교육확동,산림복지취약계충에게숲체험교육운영,F,3,"주부 (전업주부, 파트타임 근무 주부)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,화성시,능동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
숲체험교육확동,숲체험교육활동숲에만집중하다,F,2,"학생 (초중고학생, 대학생, 대학원생)",300~399만원,아니오,          ,아파트/ 주상복합,서울,서대문구,홍은동,
숲체험교육확동,[대구북구복현동산격동검단동코스트코근처어린이집유치원]<숲은늘~즐거워요??대구숲체험>교육으로행복한세상을만들어가는사회복지법인나래영재어린이집,F,3,"주부 (전업주부, 파트타임 근무 주부)",200~299만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,용인시 수지구,풍덕천동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
숲체험프로그램,핸드폰OFF숲체험ON-청소년힐링숲체험프로그램(자원봉사시간인정),F,2,,,      ,          ,,서울,관악구,봉천동,
산림체험프로그램,<횡성가볼만한곳>국립횡성숲체원;횡성여행횡성힐링여행지/숲속산책로가예쁜장소/산림체험교육프로그램/가족여행커플여행추천,F,3,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 없음 ,아파트/ 주상복합,경기,성남시 분당구,판교동,
