재해,사이트제목,성별,연령,직업,소득,결혼,자녀,주거,시도,구,동,자동차
산사태,태풍및집중호우시산사태대비국민행동요령,M,3,,,      ,          ,,경기,과천시,갈현동,
산림재해,"산림재해예방을위한하늘의눈,강릉산림항공관리소드론산불예방훈련실시",M,4,"교직 (교사, 유치원교사, 학원강사)",100~199만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,의정부시,의정부2동,
산사태,청도태양광산사태/조선일보,F,4,,,      ,          ,,경남,김해시,외동,
산사태,"삼척시,산사태발생위험지통합관리체계구축&#160;-포커스데일리",M,3,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,노원구,상계6.7동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산림재해,생태산림재해방지위한경진대회,M,4,,,      ,          ,,서울,마포구,신수동,
산사태,산사태현장예방단의구성및운영에관한지침개정(안)행정예고,M,3,"생산/노무직 (생산감독, 경비원, 공장근로자)",200~299만원,아니오,          ,단독주택,경북,포항시 북구,죽도동,
산사태,의령수도사산사태로매몰위험노출/뉴스렙기사,M,3,,,      ,          ,,경북,구미시,고아읍,
산사태,생명재산앗아가는산사태를막아라,M,4,,,      ,          ,,경남,창원시 진해구,경화동,
병해충,"2019고추농사작황,시세,면적,병해충,올해느낀점",M,4,,,      ,          ,,서울,강동구,성내2동,
병해충,건강에좋은까마중(때까리)소개및병해충재배방법,M,4,,,      ,          ,,서울,강동구,성내2동,
병해충,"2019고추농사작황,시세,면적,병해충,올해느낀점",M,4,"판매직 (상점점원, 보험설계사, 노점상)",200~299만원,아니오,          ,단독주택,서울,강북구,수유3동,
산림재해,"강서구,장마철대비산림재해예방",F,4,"자영업 (도소매업, 숙박업, 미용업)",700~799만원,예    ,자녀 없음 ,연립주택/ 다세대/ 빌라,경기,광주시,중대동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
산사태,"삼척시,산사태발생위험지통합관리체계구축&#160;-포커스데일리",M,2,,,      ,          ,,부산,금정구,장전동,
산사태,산사태예방사업,M,2,,,      ,          ,,대구,북구,침산2동,
산사태,"여주시,산림재해예방을위한산사태취약지역지정",M,3,기타 ,200~299만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,시흥시,대야동,"경차 (모닝, 스파크 등)"
산림재해,무단농작물재배에따른산림재해우려,F,2,무직,100만원 미만,아니오,          ,아파트/ 주상복합,서울,강남구,자곡동,
산림재해,"[산림청]진천산림항공관리소,산림재해꼼짝마무인감시카메라로예방",F,3,"판매직 (상점점원, 보험설계사, 노점상)",100~199만원,아니오,          ,단독주택,서울,종로구,부암동,
산림재해,"화순군,해빙기산림재해취약시설일제점검",F,2,"학생 (초중고학생, 대학생, 대학원생)","1,000만원 이상",아니오,          ,아파트/ 주상복합,경기,과천시,원문동,
병해충,들깨의병해충,M,4,무직,400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,서초구,방배3동,"소형SUV/CUV (티볼리, QM3 등)"
산사태,"[6월안전보건]알면대처할수있다!갑작스러운재해,산사태",M,3,,,      ,          ,,전북,전주시 덕진구,우아동3가,
산림재해,"[산림청]진천산림항공관리소,산림재해꼼짝마무인감시카메라로예방",M,3,"사무직 (일반사무직, 공무원, 직업군인)",700~799만원,예    ,자녀 있음 ,단독주택,대구,수성구,범어4동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
산림재해,"여주시,산림재해예방…산사태취약지역추가지정관리",M,5,기타 ,500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,강동구,명일1동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
산림재해,여름철산림재해예방을위한산사태대책상황실가동!,F,5,"생산/노무직 (생산감독, 경비원, 공장근로자)",300~399만원,예    ,자녀 있음 ,단독주택,경남,창원시 의창구,도계동,
산사태,"제18호태풍미탁,부산사하구에산사태일으켜…4명매몰돼구조중",F,2,,,      ,          ,,서울,서초구,반포1동,
산림재해,"화순군,해빙기산림재해취약시설일제점검",M,2,,,      ,          ,,강원,춘천시,퇴계동,
산림재해,"계룡시,여름철산림재해선제적대응",M,2,,,      ,          ,,경기,남양주시,별내면,
산림재해,충청북도산림재해걱정뚝!,M,2,"학생 (초중고학생, 대학생, 대학원생)",600~699만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,성남시 중원구,은행2동,
