행정구역별(시군구),연령별,내국인(15세이상)-계,내국인-미혼,내국인-배우자있음,내국인-사별,내국인-이혼,남자(15세이상)-계,남자-미혼,남자-배우자있음,남자-사별,남자-이혼,여자(15세이상)-계,여자-미혼,여자-배우자있음,여자-사별,여자-이혼
면부,45~49세,274643,59311,186640,3707,24985,158825,46760,95975,1252,14838,115818,12551,90665,2455,10147
면부,50~54세,340635,45455,251780,8756,34644,187508,35765,127960,2311,21472,153127,9690,123820,6445,13172
면부,55~59세,423868,31554,333568,19123,39623,223931,24318,170699,4310,24604,199937,7236,162869,14813,15019
면부,60~64세,464078,19057,374048,36607,34366,238891,13607,196139,7200,21945,225187,5450,177909,29407,12421
면부,65~69세,374692,9176,294444,50606,20466,187438,5907,159590,8230,13711,187254,3269,134854,42376,6755
면부,70~74세,302561,4261,222259,66464,9577,146130,2420,127691,9495,6524,156431,1841,94568,56969,3053
면부,75~79세,286707,2570,175243,104124,4770,117787,1206,101403,12038,3140,168920,1364,73840,92086,1630
면부,80~84세,237460,1602,111450,122464,1944,84514,514,68713,14218,1069,152946,1088,42737,108246,875
면부,85세이상,182136,1943,50314,128980,899,48830,255,33236,14988,351,133306,1688,17078,113992,548
서울특별시,합계,8264053,3025907,4303286,486121,448739,3983084,1587798,2136431,69984,188871,4280969,1438109,2166855,416137,259868
서울특별시,15~19세,401028,400939,89,-,-,203117,203107,10,-,-,197911,197832,79,-,-
서울특별시,20~24세,625922,621900,3704,29,289,294271,293041,1113,20,97,331651,328859,2591,9,192
서울특별시,25~29세,795700,734880,58478,183,2159,390712,371919,17867,143,783,404988,362961,40611,40,1376
서울특별시,30~34세,692702,457657,228112,595,6338,346673,251021,93192,314,2146,346029,206636,134920,281,4192
서울특별시,35~39세,711638,285293,408960,1222,16163,358471,159492,192366,575,6038,353167,125801,216594,647,10125
서울특별시,40~44세,682858,187775,461317,2814,30952,339144,107760,218305,800,12279,343714,80015,243012,2014,18673
서울특별시,45~49세,754043,145862,541426,6904,59851,372828,88105,261044,1706,21973,381215,57757,280382,5198,37878
서울특별시,50~54세,739434,86586,556260,15811,80777,361142,54998,269905,3331,32908,378292,31588,286355,12480,47869
서울특별시,55~59세,706269,47734,546138,28334,84063,341957,30712,269340,5381,36524,364312,17022,276798,22953,47539
서울특별시,60~64세,681960,29155,526701,49995,76109,322405,16452,265241,7882,32830,359555,12703,261460,42113,43279
서울특별시,65~69세,504509,14295,382119,60282,47813,236100,6770,198263,8666,22401,268409,7525,183856,51616,25412
서울특별시,70~74세,386271,6641,277182,77385,25063,177553,2671,152755,10140,11987,208718,3970,124427,67245,13076
서울특별시,75~79세,288272,3748,183791,87852,12881,129924,1190,110824,11673,6237,158348,2558,72967,76179,6644
서울특별시,80~84세,177482,1959,92237,78769,4517,72859,430,60312,10041,2076,104623,1529,31925,68728,2441
서울특별시,85세이상,115965,1483,36772,75946,1764,35928,130,25894,9312,592,80037,1353,10878,66634,1172
부산광역시,합계,2938915,905478,1603580,242666,187191,1426453,512916,795592,33492,84453,1512462,392562,807988,209174,102738
부산광역시,15~19세,142835,142766,58,6,5,74287,74275,6,6,-,68548,68491,52,-,5
부산광역시,20~24세,208516,206550,1795,16,155,107823,107279,483,15,46,100693,99271,1312,1,109
부산광역시,25~29세,217205,194905,21265,143,892,114449,107589,6461,100,299,102756,87316,14804,43,593
부산광역시,30~34세,183399,111291,69514,210,2384,94489,65876,27679,127,807,88910,45415,41835,83,1577
부산광역시,35~39세,219837,75236,136816,511,7274,111880,45730,63144,242,2764,107957,29506,73672,269,4510
부산광역시,40~44세,232022,58850,158975,1355,12842,117674,37470,74829,403,4972,114348,21380,84146,952,7870
부산광역시,45~49세,257136,47654,181641,3137,24704,127837,31222,86020,638,9957,129299,16432,95621,2499,14747
부산광역시,50~54세,270923,29631,200804,7455,33033,131303,20454,94944,1365,14540,139620,9177,105860,6090,18493
부산광역시,55~59세,279631,16116,215428,14074,34013,133324,11194,104101,2467,15562,146307,4922,111327,11607,18451
부산광역시,60~64세,290043,10608,220692,26268,32475,136907,7002,110264,4014,15627,153136,3606,110428,22254,16848
부산광역시,65~69세,223235,5488,163592,33170,20985,104785,2814,86208,5019,10744,118450,2674,77384,28151,10241
부산광역시,70~74세,164204,2607,111942,39115,10540,75527,1181,63949,4996,5401,88677,1426,47993,34119,5139
부산광역시,75~79세,122172,1659,72353,43206,4954,53302,572,44782,5410,2538,68870,1087,27571,37796,2416
부산광역시,80~84세,77596,1006,35510,38923,2157,29507,160,23575,4873,899,48089,846,11935,34050,1258
부산광역시,85세이상,50161,1111,13195,35077,778,13359,98,9147,3817,297,36802,1013,4048,31260,481
대구광역시,합계,2091857,648385,1166601,155733,121138,1025773,375666,576057,21434,52616,1066084,272719,590544,134299,68522
대구광역시,15~19세,119179,119153,26,-,-,62603,62601,2,-,-,56576,56552,24,-,-
대구광역시,20~24세,159127,157631,1384,19,93,84584,84138,405,8,33,74543,73493,979,11,60
대구광역시,25~29세,156979,139543,16639,80,717,84853,79516,5047,54,236,72126,60027,11592,26,481
대구광역시,30~34세,131598,76028,53634,221,1715,70711,47952,22071,138,550,60887,28076,31563,83,1165
대구광역시,35~39세,155831,48230,102781,407,4413,78721,30677,46450,167,1427,77110,17553,56331,240,2986
대구광역시,40~44세,171791,36007,125730,919,9135,85270,23582,58218,256,3214,86521,12425,67512,663,5921
대구광역시,45~49세,202067,31379,150613,2456,17619,98782,21201,70523,564,6494,103285,10178,80090,1892,11125
대구광역시,50~54세,212551,18148,164710,5610,24083,103853,12723,79403,1176,10551,108698,5425,85307,4434,13532
대구광역시,55~59세,205215,10313,160648,10238,24016,100043,7377,80071,1868,10727,105172,2936,80577,8370,13289
대구광역시,60~64세,184181,5687,142792,16028,19674,89330,3571,73672,2613,9474,94851,2116,69120,13415,10200
대구광역시,65~69세,134624,2598,100360,20416,11250,62800,1349,53246,2716,5489,71824,1249,47114,17700,5761
대구광역시,70~74세,97307,1420,68321,22811,4755,44187,545,37969,3059,2614,53120,875,30352,19752,2141
대구광역시,75~79세,75689,1016,45408,26977,2288,31584,252,27183,2956,1193,44105,764,18225,24021,1095
대구광역시,80~84세,51585,592,23882,26115,996,18928,105,15325,3018,480,32657,487,8557,23097,516
대구광역시,85세이상,34133,640,9673,23436,384,9524,77,6472,2841,134,24609,563,3201,20595,250
인천광역시,합계,2489630,787820,1364885,158411,178514,1239308,453549,681665,24187,79907,1250322,334271,683220,134224,98607
인천광역시,15~19세,135404,135317,83,4,-,69640,69628,12,-,-,65764,65689,71,4,-
인천광역시,20~24세,176352,173321,2540,119,372,91324,90336,742,103,143,85028,82985,1798,16,229
인천광역시,25~29세,206715,179869,25108,222,1516,108376,99181,8513,183,499,98339,80688,16595,39,1017
인천광역시,30~34세,178600,102260,72636,277,3427,93053,61676,30059,178,1140,85547,40584,42577,99,2287
인천광역시,35~39세,212499,64641,138983,563,8312,109421,41560,64455,238,3168,103078,23081,74528,325,5144
인천광역시,40~44세,221969,45560,160444,1074,14891,113714,31094,76350,447,5823,108255,14466,84094,627,9068
