행정구역별(시군구),연령별,내국인(15세이상)-계,내국인-미혼,내국인-배우자있음,내국인-사별,내국인-이혼,남자(15세이상)-계,남자-미혼,남자-배우자있음,남자-사별,남자-이혼,여자(15세이상)-계,여자-미혼,여자-배우자있음,여자-사별,여자-이혼
충청남도,65~69세,113678,2603,87342,16227,7506,55601,1456,47300,2489,4356,58077,1147,40042,13738,3150
충청남도,70~74세,90622,1384,65616,19719,3903,43452,648,37681,2700,2423,47170,736,27935,17019,1480
충청남도,75~79세,76460,818,47405,26584,1653,32098,351,27311,3455,981,44362,467,20094,23129,672
충청남도,80~84세,62296,347,31363,30030,556,23127,114,18680,4015,318,39169,233,12683,26015,238
충청남도,85세이상,48936,403,15079,33168,286,14149,50,9765,4241,93,34787,353,5314,28927,193
전라북도,합계,1551983,441986,873754,151739,84504,769256,265887,442038,20126,41205,782727,176099,431716,131613,43299
전라북도,15~19세,92961,92914,40,-,7,49060,49046,7,-,7,43901,43868,33,-,-
전라북도,20~24세,115947,113660,2112,22,153,63789,63166,551,22,50,52158,50494,1561,-,103
전라북도,25~29세,97122,81676,14645,88,713,53007,47913,4747,54,293,44115,33763,9898,34,420
전라북도,30~34세,81111,44337,35004,158,1612,42377,28152,13645,61,519,38734,16185,21359,97,1093
전라북도,35~39세,102185,30455,66742,436,4552,52268,20881,29579,134,1674,49917,9574,37163,302,2878
전라북도,40~44세,117182,24765,84108,821,7488,59881,17878,39015,259,2729,57301,6887,45093,562,4759
전라북도,45~49세,141239,21547,104245,1843,13604,72939,16132,50602,456,5749,68300,5415,53643,1387,7855
전라북도,50~54세,145776,13533,112543,4152,15548,75336,10314,56652,811,7559,70440,3219,55891,3341,7989
전라북도,55~59세,143414,8332,113175,6850,15057,73281,6238,57868,1282,7893,70133,2094,55307,5568,7164
전라북도,60~64세,140085,5145,109980,12412,12548,69686,3552,57212,2027,6895,70399,1593,52768,10385,5653
전라북도,65~69세,106269,2490,81083,15467,7229,51626,1533,43451,2322,4320,54643,957,37632,13145,2909
전라북도,70~74세,91291,1294,65441,20988,3568,42617,681,36873,2845,2218,48674,613,28568,18143,1350
전라북도,75~79세,74864,727,45080,27528,1529,30626,249,26488,2987,902,44238,478,18592,24541,627
전라북도,80~84세,57245,530,26733,29401,581,20521,114,16769,3346,292,36724,416,9964,26055,289
전라북도,85세이상,45292,581,12823,31573,315,12242,38,8579,3520,105,33050,543,4244,28053,210
전라남도,합계,1535325,384125,893370,177968,79862,769088,243016,460999,22822,42251,766237,141109,432371,155146,37611
전라남도,15~19세,81864,81812,41,1,10,43879,43857,14,1,7,37985,37955,27,-,3
전라남도,20~24세,92307,90173,1902,71,161,53942,53148,617,71,106,38365,37025,1285,-,55
전라남도,25~29세,86664,71240,14546,162,716,48333,43175,4662,138,358,38331,28065,9884,24,358
전라남도,30~34세,75955,37234,36941,158,1622,39947,24740,14638,81,488,36008,12494,22303,77,1134
전라남도,35~39세,100239,28569,67194,408,4068,52744,20398,30560,138,1648,47495,8171,36634,270,2420
전라남도,40~44세,112313,22552,81514,873,7374,59108,17193,38547,232,3136,53205,5359,42967,641,4238
전라남도,45~49세,132935,20288,98200,2140,12307,70861,16044,48453,534,5830,62074,4244,49747,1606,6477
전라남도,50~54세,146269,13842,113719,4157,14551,78291,11025,58603,917,7746,67978,2817,55116,3240,6805
전라남도,55~59세,148181,8592,117077,7678,14834,77383,6947,60844,1386,8206,70798,1645,56233,6292,6628
전라남도,60~64세,145680,5097,115999,12845,11739,73683,3882,60698,2142,6961,71997,1215,55301,10703,4778
전라남도,65~69세,110278,2235,83672,17312,7059,54023,1518,45694,2443,4368,56255,717,37978,14869,2691
전라남도,70~74세,97371,1068,68958,23998,3347,45672,657,39835,2998,2182,51699,411,29123,21000,1165
전라남도,75~79세,87181,565,51180,34162,1274,35275,279,30519,3683,794,51906,286,20661,30479,480
전라남도,80~84세,68245,365,30171,37227,482,23524,95,19008,4116,305,44721,270,11163,33111,177
전라남도,85세이상,49843,493,12256,36776,318,12423,58,8307,3942,116,37420,435,3949,32834,202
경상북도,합계,2275540,598949,1330212,230028,116351,1141517,372676,678851,31713,58277,1134023,226273,651361,198315,58074
경상북도,15~19세,119205,119152,41,-,12,64371,64366,5,-,-,54834,54786,36,-,12
경상북도,20~24세,147069,144233,2565,73,198,84050,83163,744,61,82,63019,61070,1821,12,116
경상북도,25~29세,134586,113391,20134,140,921,77065,70180,6445,106,334,57521,43211,13689,34,587
경상북도,30~34세,125324,65217,57810,262,2035,68672,44635,23224,117,696,56652,20582,34586,145,1339
경상북도,35~39세,157660,45078,106113,523,5946,82355,30927,49029,194,2205,75305,14151,57084,329,3741
경상북도,40~44세,169711,35138,123228,1356,9989,88300,25188,58542,360,4210,81411,9950,64686,996,5779
경상북도,45~49세,199406,29812,149495,2536,17563,103286,21894,72610,673,8109,96120,7918,76885,1863,9454
경상북도,50~54세,217805,20177,170141,6079,21408,112242,15336,85146,1267,10493,105563,4841,84995,4812,10915
경상북도,55~59세,226035,11833,181382,10907,21913,115626,8626,93320,2199,11481,110409,3207,88062,8708,10432
경상북도,60~64세,222509,7336,176952,20322,17899,111396,4925,93176,3350,9945,111113,2411,83776,16972,7954
경상북도,65~69세,170719,3570,130785,25813,10551,82573,2040,70452,3961,6120,88146,1530,60333,21852,4431
경상북도,70~74세,126796,1612,90135,30275,4774,60387,791,52450,4252,2894,66409,821,37685,26023,1880
경상북도,75~79세,109477,1022,64737,41691,2027,44492,378,38127,4815,1172,64985,644,26610,36876,855
경상북도,80~84세,85955,670,39622,44900,763,30160,154,24399,5184,423,55795,516,15223,39716,340
경상북도,85세이상,63283,708,17072,45151,352,16542,73,11182,5174,113,46741,635,5890,39977,239
경상남도,합계,2811060,762176,1646795,240081,162008,1409793,466941,832075,31686,79091,1401267,295235,814720,208395,82917
경상남도,15~19세,154959,154894,64,-,1,82920,82901,18,-,1,72039,71993,46,-,-
경상남도,20~24세,179537,176899,2398,47,193,102593,101892,587,35,79,76944,75007,1811,12,114
경상남도,25~29세,176865,150120,25435,161,1149,97906,89006,8253,136,511,78959,61114,17182,25,638
경상남도,30~34세,167446,85033,79375,355,2683,89070,55980,31968,145,977,78376,29053,47407,210,1706
경상남도,35~39세,223838,58930,156739,699,7470,115645,40584,71863,270,2928,108193,18346,84876,429,4542
경상남도,40~44세,244335,45397,183018,1530,14390,125853,32582,86588,396,6287,118482,12815,96430,1134,8103
경상남도,45~49세,275952,36820,211119,3362,24651,141382,27342,101959,851,11230,134570,9478,109160,2511,13421
경상남도,50~54세,288390,23406,226327,7138,31519,146742,17376,112484,1450,15432,141648,6030,113843,5688,16087
경상남도,55~59세,276624,13581,220080,13100,29863,140255,9734,113080,2575,14866,136369,3847,107000,10525,14997
경상남도,60~64세,260218,8313,203468,23299,25138,130350,5543,107922,3832,13053,129868,2770,95546,19467,12085
경상남도,65~69세,185423,4259,138289,28329,14546,90311,2443,75870,4062,7936,95112,1816,62419,24267,6610
경상남도,70~74세,133673,1744,92551,33329,6049,62823,862,54011,4426,3524,70850,882,38540,28903,2525
경상남도,75~79세,106619,1044,60481,42361,2733,43141,471,36615,4497,1558,63478,573,23866,37864,1175
경상남도,80~84세,79504,712,33737,43887,1168,26904,141,21692,4523,548,52600,571,12045,39364,620
경상남도,85세이상,57677,1024,13714,42484,455,13898,84,9165,4488,161,43779,940,4549,37996,294
제주특별자치도,합계,549647,165077,306898,40685,36987,274376,95612,155858,5838,17068,275271,69465,151040,34847,19919
제주특별자치도,15~19세,32883,32852,17,14,-,17411,17411,-,-,-,15472,15441,17,14,-
제주특별자치도,20~24세,36772,35820,878,11,63,19810,19502,286,11,11,16962,16318,592,-,52
제주특별자치도,25~29세,38934,31833,6738,60,303,20414,18006,2308,23,77,18520,13827,4430,37,226
제주특별자치도,30~34세,33811,17330,15713,61,707,17242,10621,6332,26,263,16569,6709,9381,35,444
제주특별자치도,35~39세,45994,13465,30400,160,1969,23155,8353,14026,56,720,22839,5112,16374,104,1249
제주특별자치도,40~44세,49813,11141,35074,281,3317,25490,7165,16725,119,1481,24323,3976,18349,162,1836
제주특별자치도,45~49세,57595,9085,41769,708,6033,29819,6150,20835,168,2666,27776,2935,20934,540,3367
제주특별자치도,50~54세,55950,6450,40908,1620,6972,29131,4173,21388,323,3247,26819,2277,19520,1297,3725
제주특별자치도,55~59세,50719,3445,38224,2306,6744,26067,2305,20209,456,3097,24652,1140,18015,1850,3647
제주특별자치도,60~64세,44965,1737,34138,3565,5525,22607,1072,18165,498,2872,22358,665,15973,3067,2653
제주특별자치도,65~69세,30856,981,22717,4229,2929,14975,531,12389,637,1418,15881,450,10328,3592,1511
제주특별자치도,70~74세,24555,358,17562,5277,1358,11485,160,10008,582,735,13070,198,7554,4695,623
제주특별자치도,75~79세,19682,267,12311,6414,690,8547,92,7201,904,350,11135,175,5110,5510,340
제주특별자치도,80~84세,14662,135,7256,7023,248,5360,52,4166,1045,97,9302,83,3090,5978,151
제주특별자치도,85세이상,12456,178,3193,8956,129,2863,19,1820,990,34,9593,159,1373,7966,95
